2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Nikola Jokić,Nikola Jokić,Anthony Davis,Nikola Jokić,Anthony Davis,Anthony Davis,DeAndre Jordan,Marc Gasol,Joakim Noah
Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,LeBron James,LeBron James,LeBron James,LeBron James,Kevin Durant
Jayson Tatum,Kawhi Leonard,LeBron James,Paul George,Kevin Durant,Kawhi Leonard,Kawhi Leonard,Anthony Davis,LeBron James
Luka Dončić,Stephen Curry,James Harden,James Harden,Damian Lillard,James Harden,Stephen Curry,Stephen Curry,James Harden
Devin Booker,Luka Dončić,Luka Dončić,Stephen Curry,James Harden,Russell Westbrook,Russell Westbrook,James Harden,Chris Paul
Joel Embiid,Joel Embiid,Nikola Jokić,Joel Embiid,Joel Embiid,Rudy Gobert,DeMarcus Cousins,DeMarcus Cousins,Dwight Howard
Kevin Durant,Julius Randle,Kawhi Leonard,Kevin Durant,Giannis Antetokounmpo,Giannis Antetokounmpo,Kevin Durant,Pau Gasol,Blake Griffin
DeMar DeRozan,LeBron James,Pascal Siakam,Kawhi Leonard,LaMarcus Aldridge,Kevin Durant,Draymond Green,LaMarcus Aldridge,Kevin Love
Ja Morant,Chris Paul,Damian Lillard,Damian Lillard,Russell Westbrook,Stephen Curry,Chris Paul,Russell Westbrook,Stephen Curry
Stephen Curry,Damian Lillard,Chris Paul,Kyrie Irving,DeMar DeRozan,Isaiah Thomas,Damian Lillard,Chris Paul,Tony Parker
Karl-Anthony Towns,Rudy Gobert,Rudy Gobert,Rudy Gobert,Karl-Anthony Towns,DeAndre Jordan,Andre Drummond,DeAndre Jordan,Al Jefferson
LeBron James,Jimmy Butler,Jayson Tatum,LeBron James,Jimmy Butler,Draymond Green,Paul George,Blake Griffin,Paul George
Pascal Siakam,Paul George,Jimmy Butler,Blake Griffin,Paul George,Jimmy Butler,LaMarcus Aldridge,Tim Duncan,LaMarcus Aldridge
Chris Paul,Bradley Beal,Ben Simmons,Kemba Walker,Stephen Curry,John Wall,Klay Thompson,Klay Thompson,Goran Dragić
Trae Young,Kyrie Irving,Russell Westbrook,Russell Westbrook,Victor Oladipo,DeMar DeRozan,Kyle Lowry,Kyrie Irving,Damian Lillard